Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,99.81,1.77,49.79
4.94,108.98,1.59,57.92
5.94,113.92,1.71,46.81
6.94,106.05,2.73,60.70
7.97,109.41,1.84,54.27
9.01,114.43,1.32,50.38
10.04,104.84,1.24,53.64
11.11,111.89,1.38,58.56
12.15,115.28,1.32,54.11
13.18,117.06,1.46,53.17
14.21,117.65,2.65,76.06
15.28,115.72,2.12,64.10
16.32,113.16,3.03,55.43
17.32,104.71,3.92,58.68
18.35,107.51,2.69,55.41
19.42,108.60,1.82,60.68
20.45,106.89,1.52,62.70
21.49,99.41,1.88,61.33
22.52,100.51,2.91,80.80
23.59,98.73,1.23,64.71
24.59,100.44,2.70,52.80
25.59,101.68,2.68,63.89
26.59,101.19,1.57,65.02
27.53,106.63,1.58,59.99
28.56,105.56,1.22,60.28
29.56,105.21,0.96,61.25
30.60,103.30,1.27,69.34
31.63,109.46,1.39,71.59
32.67,107.13,1.10,67.42
33.73,101.82,1.72,61.20
34.77,108.21,1.74,60.96
35.80,107.73,1.23,60.44
36.80,110.09,1.91,64.29
37.84,110.79,2.61,50.79
