Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.37,107.50,1.77,49.79
5.53,97.00,1.59,57.92
6.57,92.44,1.71,46.81
7.60,90.15,2.73,60.70
8.63,92.17,1.84,54.27
9.70,94.98,1.32,50.38
10.73,98.48,1.24,53.64
11.77,100.59,1.38,58.56
12.80,94.23,1.32,54.11
13.87,92.36,1.46,53.17
14.90,92.10,2.65,76.06
15.93,102.29,2.12,64.10
16.97,93.93,3.03,55.43
18.03,86.04,3.92,58.68
19.07,87.87,2.69,55.41
20.10,88.58,1.82,60.68
21.13,91.89,1.52,62.70
22.20,93.48,1.88,61.33
23.23,96.36,2.91,80.80
24.27,93.98,1.23,64.71
25.30,95.36,2.70,52.80
26.37,98.81,2.68,63.89
27.40,97.46,1.57,65.02
28.43,99.81,1.58,59.99
29.47,97.52,1.22,60.28
30.53,94.09,0.96,61.25
31.57,94.23,1.27,69.34
32.60,94.05,1.39,71.59
33.63,96.15,1.10,67.42
34.70,97.73,1.72,61.20
35.73,97.20,1.74,60.96
