Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,110.45,1.77,49.79
4.87,92.22,1.59,57.92
5.91,99.72,1.71,46.81
6.97,106.00,2.73,60.70
8.01,91.91,1.84,54.27
9.04,104.75,1.32,50.38
10.08,98.02,1.24,53.64
11.14,100.95,1.38,58.56
12.18,97.71,1.32,54.11
13.21,91.93,1.46,53.17
14.25,97.78,2.65,76.06
15.32,92.44,2.12,64.10
16.35,88.91,3.03,55.43
17.35,93.58,3.92,58.68
18.35,89.85,2.69,55.41
19.35,91.86,1.82,60.68
20.35,97.56,1.52,62.70
21.39,103.23,1.88,61.33
22.42,100.85,2.91,80.80
23.46,102.65,1.23,64.71
24.49,97.01,2.70,52.80
25.56,101.88,2.68,63.89
26.59,97.46,1.57,65.02
27.63,100.82,1.58,59.99
28.66,100.18,1.22,60.28
29.73,100.87,0.96,61.25
30.76,101.29,1.27,69.34
31.80,100.25,1.39,71.59
32.83,103.66,1.10,67.42
33.83,100.91,1.72,61.20
34.87,101.16,1.74,60.96
35.90,99.68,1.23,60.44
36.94,102.76,1.91,64.29
