Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.33,102.42,1.77,49.79
5.51,106.35,1.59,57.92
6.51,108.28,1.71,46.81
7.51,115.10,2.73,60.70
8.51,108.99,1.84,54.27
9.58,99.07,1.32,50.38
10.61,88.21,1.24,53.64
11.64,102.48,1.38,58.56
12.68,102.41,1.32,54.11
13.75,100.43,1.46,53.17
14.78,100.25,2.65,76.06
15.78,105.28,2.12,64.10
16.82,100.36,3.03,55.43
17.82,99.71,3.92,58.68
18.85,94.83,2.69,55.41
19.85,93.77,1.82,60.68
20.85,92.02,1.52,62.70
21.86,93.11,1.88,61.33
22.92,96.20,2.91,80.80
23.96,98.12,1.23,64.71
24.96,98.59,2.70,52.80
25.99,100.50,2.68,63.89
27.03,101.81,1.57,65.02
28.03,99.52,1.58,59.99
