Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,93.93,1.77,49.79
4.83,95.24,1.59,57.92
5.87,85.29,1.71,46.81
6.87,96.67,2.73,60.70
7.93,100.00,1.84,54.27
8.97,93.20,1.32,50.38
9.97,99.94,1.24,53.64
11.00,92.92,1.38,58.56
12.03,91.76,1.32,54.11
13.10,95.60,1.46,53.17
14.13,96.88,2.65,76.06
15.17,90.10,2.12,64.10
16.20,94.95,3.03,55.43
17.27,93.00,3.92,58.68
18.30,95.62,2.69,55.41
19.33,95.28,1.82,60.68
20.37,97.70,1.52,62.70
21.43,94.47,1.88,61.33
22.47,88.46,2.91,80.80
23.50,92.48,1.23,64.71
24.53,94.69,2.70,52.80
25.60,94.40,2.68,63.89
26.63,96.15,1.57,65.02
27.67,91.81,1.58,59.99
28.70,92.87,1.22,60.28
29.77,94.06,0.96,61.25
30.80,96.19,1.27,69.34
31.83,100.45,1.39,71.59
32.87,93.95,1.10,67.42
33.93,93.59,1.72,61.20
