Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.03,95.52,1.77,49.79
5.24,112.98,1.59,57.92
6.27,123.01,1.71,46.81
7.31,118.94,2.73,60.70
8.34,85.63,1.84,54.27
9.34,90.77,1.32,50.38
10.41,101.37,1.24,53.64
11.44,101.71,1.38,58.56
12.48,104.90,1.32,54.11
13.48,99.27,1.46,53.17
14.48,105.61,2.65,76.06
15.52,108.85,2.12,64.10
16.52,98.42,3.03,55.43
17.52,97.28,3.92,58.68
18.52,96.26,2.69,55.41
19.52,97.63,1.82,60.68
20.52,100.07,1.52,62.70
21.52,100.55,1.88,61.33
22.56,100.85,2.91,80.80
23.59,100.83,1.23,64.71
24.62,102.77,2.70,52.80
25.63,102.56,2.68,63.89
26.66,105.43,1.57,65.02
27.66,102.41,1.58,59.99
28.66,103.61,1.22,60.28
29.66,97.67,0.96,61.25
30.66,103.11,1.27,69.34
31.66,105.72,1.39,71.59
32.67,100.85,1.10,67.42
33.70,101.75,1.72,61.20
34.70,103.83,1.74,60.96
