Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,101.53,1.77,49.79
4.80,111.00,1.59,57.92
5.81,91.23,1.71,46.81
6.77,88.32,2.73,60.70
7.77,87.06,1.84,54.27
8.78,91.59,1.32,50.38
9.78,94.26,1.24,53.64
10.78,102.77,1.38,58.56
11.78,98.78,1.32,54.11
12.78,101.35,1.46,53.17
13.75,99.11,2.65,76.06
14.71,101.59,2.12,64.10
15.72,103.70,3.03,55.43
16.68,103.71,3.92,58.68
17.68,99.84,2.69,55.41
18.65,102.76,1.82,60.68
19.62,102.99,1.52,62.70
20.62,101.41,1.88,61.33
21.59,98.29,2.91,80.80
22.59,98.80,1.23,64.71
23.56,97.13,2.70,52.80
24.52,97.63,2.68,63.89
25.46,101.65,1.57,65.02
26.43,103.29,1.58,59.99
27.43,100.65,1.22,60.28
28.43,98.45,0.96,61.25
29.36,98.13,1.27,69.34
30.33,98.31,1.39,71.59
31.33,100.56,1.10,67.42
32.27,99.58,1.72,61.20
33.27,97.72,1.74,60.96
34.23,98.09,1.23,60.44
35.20,95.48,1.91,64.29
