Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.17,100.11,1.77,49.79
5.37,90.27,1.59,57.92
6.44,81.84,1.71,46.81
7.47,79.92,2.73,60.70
8.51,92.11,1.84,54.27
9.54,82.48,1.32,50.38
10.61,81.31,1.24,53.64
11.64,90.97,1.38,58.56
12.68,84.52,1.32,54.11
13.71,94.44,1.46,53.17
14.78,97.61,2.65,76.06
15.82,92.77,2.12,64.10
16.85,95.59,3.03,55.43
17.88,94.25,3.92,58.68
18.92,97.22,2.69,55.41
19.95,98.48,1.82,60.68
20.99,94.71,1.52,62.70
22.02,97.31,1.88,61.33
23.09,96.46,2.91,80.80
24.12,96.62,1.23,64.71
25.16,96.85,2.70,52.80
26.19,96.43,2.68,63.89
27.26,93.06,1.57,65.02
28.29,97.47,1.58,59.99
29.33,97.24,1.22,60.28
30.36,94.90,0.96,61.25
31.43,95.56,1.27,69.34
32.47,92.11,1.39,71.59
33.50,94.15,1.10,67.42
34.53,93.24,1.72,61.20
35.54,89.36,1.74,60.96
36.57,89.28,1.23,60.44
37.60,93.32,1.91,64.29
38.64,94.83,2.61,50.79
39.67,95.50,1.01,46.16
