Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,95.67,1.77,49.79
4.80,85.71,1.59,57.92
5.80,102.86,1.71,46.81
6.73,98.62,2.73,60.70
7.70,81.58,1.84,54.27
8.73,84.03,1.32,50.38
9.70,82.15,1.24,53.64
10.70,92.69,1.38,58.56
11.70,90.24,1.32,54.11
12.67,87.74,1.46,53.17
13.67,91.04,2.65,76.06
14.60,90.38,2.12,64.10
15.60,87.53,3.03,55.43
16.60,95.08,3.92,58.68
17.57,99.94,2.69,55.41
18.60,92.68,1.82,60.68
19.57,99.45,1.52,62.70
20.57,98.83,1.88,61.33
21.57,89.89,2.91,80.80
22.60,95.40,1.23,64.71
23.67,97.86,2.70,52.80
24.63,100.13,2.68,63.89
25.60,103.91,1.57,65.02
26.60,104.23,1.58,59.99
27.60,98.69,1.22,60.28
28.60,99.58,0.96,61.25
29.63,101.42,1.27,69.34
30.57,100.69,1.39,71.59
31.57,101.32,1.10,67.42
32.53,99.24,1.72,61.20
33.47,98.41,1.74,60.96
34.40,92.70,1.23,60.44
35.33,97.61,1.91,64.29
36.33,96.94,2.61,50.79
