Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,102.26,1.77,49.79
4.87,107.04,1.59,57.92
5.87,108.98,1.71,46.81
6.87,110.25,2.73,60.70
7.91,110.81,1.84,54.27
8.91,92.76,1.32,50.38
9.94,91.90,1.24,53.64
10.94,101.37,1.38,58.56
11.98,93.60,1.32,54.11
12.98,97.70,1.46,53.17
13.98,99.75,2.65,76.06
14.98,96.84,2.12,64.10
16.02,101.03,3.03,55.43
16.98,105.17,3.92,58.68
17.98,102.10,2.69,55.41
18.99,106.10,1.82,60.68
20.02,108.59,1.52,62.70
21.02,111.23,1.88,61.33
22.02,107.74,2.91,80.80
23.02,107.45,1.23,64.71
24.02,103.47,2.70,52.80
25.06,105.88,2.68,63.89
26.06,101.82,1.57,65.02
27.06,102.13,1.58,59.99
28.06,101.65,1.22,60.28
29.06,99.91,0.96,61.25
30.06,98.26,1.27,69.34
31.06,100.94,1.39,71.59
32.07,99.70,1.10,67.42
33.13,96.41,1.72,61.20
34.10,101.84,1.74,60.96
35.10,103.37,1.23,60.44
36.17,103.95,1.91,64.29
37.14,100.58,2.61,50.79
38.14,103.11,1.01,46.16
39.14,103.89,1.32,49.36
40.07,104.65,1.35,54.53
41.07,102.50,1.62,46.03
