Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.70,97.58,1.77,49.79
6.70,100.60,1.59,57.92
7.70,95.28,1.71,46.81
8.70,99.16,2.73,60.70
9.70,109.93,1.84,54.27
10.70,114.08,1.32,50.38
11.70,104.20,1.24,53.64
12.67,107.58,1.38,58.56
13.67,110.87,1.32,54.11
14.67,104.38,1.46,53.17
15.70,103.74,2.65,76.06
16.70,105.85,2.12,64.10
17.73,102.18,3.03,55.43
18.73,106.41,3.92,58.68
19.77,110.27,2.69,55.41
20.83,108.15,1.82,60.68
21.87,105.02,1.52,62.70
22.87,101.53,1.88,61.33
23.90,109.90,2.91,80.80
24.90,109.86,1.23,64.71
25.93,107.48,2.70,52.80
26.93,107.98,2.68,63.89
27.93,105.97,1.57,65.02
28.97,105.04,1.58,59.99
29.97,102.94,1.22,60.28
31.00,99.24,0.96,61.25
32.00,100.95,1.27,69.34
33.00,100.83,1.39,71.59
34.07,99.99,1.10,67.42
