Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.13,103.60,1.77,49.79
5.27,113.53,1.59,57.92
6.27,110.37,1.71,46.81
7.23,109.05,2.73,60.70
8.23,108.51,1.84,54.27
9.30,104.55,1.32,50.38
10.33,105.38,1.24,53.64
11.37,108.74,1.38,58.56
12.40,103.89,1.32,54.11
13.47,104.73,1.46,53.17
14.43,99.48,2.65,76.06
15.40,98.42,2.12,64.10
16.40,101.38,3.03,55.43
17.37,103.70,3.92,58.68
18.43,100.91,2.69,55.41
19.43,107.06,1.82,60.68
20.43,106.38,1.52,62.70
21.47,104.68,1.88,61.33
22.50,105.93,2.91,80.80
23.50,108.09,1.23,64.71
24.50,107.18,2.70,52.80
25.50,105.00,2.68,63.89
26.50,105.07,1.57,65.02
27.50,103.56,1.58,59.99
28.50,104.92,1.22,60.28
29.50,106.35,0.96,61.25
30.50,103.54,1.27,69.34
31.50,105.77,1.39,71.59
32.50,107.01,1.10,67.42
33.50,106.03,1.72,61.20
34.50,105.53,1.74,60.96
35.47,105.66,1.23,60.44
36.47,105.71,1.91,64.29
37.50,104.75,2.61,50.79
